team,game
MIN,202204080
MIN,202204090
MIN,202204100
MIN,202204110
MIN,202204120
MIN,202204130
BOS,202204150
BOS,202204160
BOS,202204170
BOS,202204180
KCA,202204190
KCA,202204200
KCA,202204210
MIN,202204220
MIN,202204230
MIN,202204240
MIN,202204260
MIN,202204270
MIN,202204280
TBA,202204290
TBA,202204300
TBA,202205010
BAL,202205020
BAL,202205030
BAL,202205040
BAL,202205050
MIN,202205060
MIN,202205070
MIN,202205080
MIN,202205100
MIN,202205110
MIN,202205120
MIN,202205130
MIN,202205140
MIN,202205150
OAK,202205160
OAK,202205170
OAK,202205180
KCA,202205200
KCA,202205210
KCA,202205220
MIN,202205230
MIN,202205240
MIN,202205250
MIN,202205260
MIN,202205270
MIN,202205280
MIN,202205290
DET,202205300
DET,202205311
DET,202205312
DET,202206010
DET,202206020
TOR,202206030
TOR,202206040
TOR,202206050
MIN,202206070
MIN,202206080
MIN,202206090
MIN,202206100
MIN,202206110
MIN,202206120
SEA,202206130
SEA,202206140
SEA,202206150
ARI,202206170
ARI,202206180
ARI,202206190
MIN,202206210
MIN,202206220
MIN,202206230
MIN,202206240
MIN,202206250
MIN,202206260
CLE,202206270
CLE,202206281
CLE,202206282
CLE,202206290
CLE,202206300
MIN,202207010
MIN,202207020
MIN,202207030
CHA,202207040
CHA,202207050
CHA,202207060
TEX,202207080
TEX,202207090
TEX,202207100
MIN,202207120
MIN,202207130
MIN,202207140
MIN,202207150
MIN,202207160
MIN,202207170
DET,202207230
DET,202207240
MIL,202207260
MIL,202207270
SDN,202207290
SDN,202207300
SDN,202207310
MIN,202208010
MIN,202208020
MIN,202208030
MIN,202208040
MIN,202208050
MIN,202208060
MIN,202208070
LAN,202208090
LAN,202208100
ANA,202208120
ANA,202208130
ANA,202208140
MIN,202208150
MIN,202208160
MIN,202208170
MIN,202208190
MIN,202208200
MIN,202208210
MIN,202208220
HOU,202208230
HOU,202208240
HOU,202208250
MIN,202208260
MIN,202208270
MIN,202208280
MIN,202208290
MIN,202208300
MIN,202208310
CHA,202209020
CHA,202209030
