id,location,nickname,conference_id,division_id
1,Anaheim,Angels,1,3
2,Arizona,Diamondbacks,2,6
3,Atlanta,Braves,2,4
4,Baltimore,Orioles,1,1
5,Boston,Red Sox,1,1
6,Chicago,Cubs,2,5
7,Chicago,White Sox,1,2
8,Cincinnati,Reds,2,5
9,Cleveland,Guardians,1,2
10,Colorado,Rockies,2,6
11,Detroit,Tigers,1,2
12,Miami,Marlins,2,4
13,Houston,Astros,1,3
14,Kansas City,Royals,1,2
15,Los Angeles,Dodgers,2,6
16,Milwaukee,Brewers,2,5
17,Minnesota,Twins,1,2
18,Montreal,Expos,2,4
19,New York,Mets,2,4
20,New York,Yankees,1,1
21,Oakland,Athletics,1,3
22,Philadelphia,Phillies,2,4
23,Pittsburgh,Pirates,2,5
24,San Diego,Padres,2,6
25,Seattle,Mariners,1,3
26,San Francisco,Giants,2,6
27,St. Louis,Cardinals,2,5
28,Tampa Bay,Rays,1,1
29,Texas,Rangers,1,3
30,Toronto,Blue Jays,1,1
31,Washington,Nationals,2,4
